,nombre_programa,precio_matric,precio_aran,precio_ins,modalidad_prog,duracion,IES,url,fecha_consulta
10,Obtén el título deMagíster en Administraciónde Empresas,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/administracion-de-empresas/,2024-05-10 16:46:43.044514
11,Obtén el título deMagíster en Alimentación ySalud Colectiva,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/alimentacion-y-salud-colectiva/,2024-05-10 16:46:43.618786
12,Obtén el título deMagíster en Archivística ySistemas de Gestión Documental,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadEn líneaCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/archivistica-y-sistemas-de-gestion-documental/,2024-05-10 16:46:44.204750
13,Obtén el título deMagíster enComunicación Estratégica,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadSemipresencialCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/comunicacion-estrategica/,2024-05-10 16:46:45.548882
14,Obtén el título deMagíster en Comunicación Política conmención en Gobernanza y Procesos Electorales,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadSemipresencialCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/comunicacion-politica-con-mencion-en-gobernanza-y-procesos-electorales/,2024-05-10 16:46:46.124132
15,Obtén el título deMagíster en ComunicaciónTransmedia,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadEn líneaCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/comunicacion-transmedia/,2024-05-10 16:46:46.699817
16,Obtén el título deMagíster en Contratación Pública,InversiónUSD $1.752.50Incluye el 65% del descuento,"
Inversión
USD $1.752.50
Incluye el 65% del descuento
","
Inversión
USD $1.752.50
Incluye el 65% del descuento
",ModalidadEn líneaCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/contratacion-publica-2/,2024-05-10 16:46:50.291623
17,Obtén el título deMagíster en Derecho Administrativo,InversiónUSD $1.752.50Incluye el 65% del descuento,"
Inversión
USD $1.752.50
Incluye el 65% del descuento
","
Inversión
USD $1.752.50
Incluye el 65% del descuento
",ModalidadEn líneaCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/derecho-administrativo-2/,2024-05-10 16:46:50.858884
18,Obtén el título deMagíster en Derecho Constitucional,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/derecho-constitucional-2/,2024-05-10 16:46:51.433467
19,Obtén el título deMagíster en Derecho de la Economía Digital,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadEn líneaCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/derecho-de-la-economia-digital/,2024-05-10 16:46:51.996249
20,Obtén el título deMagíster en Derecho de la Empresa,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/derecho-de-la-empresa/,2024-05-10 16:46:52.558999
21,Obtén el título deMagíster en Derechos de la Naturaleza y Justicia Intercultural,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadSemipresencialCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/derechos-de-la-naturaleza-y-justicia-intercultural/,2024-05-10 16:46:53.134694
22,Obtén el título deMagíster en Derecho Financiero Bursátil y de Seguros,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadEn líneaCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/derecho-financiero-bursatil-y-seguros/,2024-05-10 16:46:53.701919
23,Obtén el título deMagíster en Derecho Laboral y Seguridad Social,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/derecho-laboral-y-seguridad-social/,2024-05-10 16:46:54.240972
24,"Obtén el título deMagíster en Derecho, mención Planificación Tributaria y Fiscalidad Internacional",InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadSemipresencialCréditos: 84,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/derecho-con-mencion-en-planificacion-tributaria-y-fiscalidad-internacional/,2024-05-10 16:46:57.879375
25,Obtén el título deMagíster en Derecho Penal,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/derecho-penal/,2024-05-10 16:46:58.453842
26,Obtén el título deMagíster en Derecho Procesal,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadSemipresencialCréditos: 84,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/derecho-procesal-2/,2024-05-10 16:46:58.998120
27,Obtén el título deMagíster en Derecho Tributario,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 90,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/derecho-tributario/,2024-05-10 16:46:59.601875
